advertiser_id,type,count_star()
1397,serve,97234
786,serve,97233
1108,serve,97232
599,serve,97232
1344,serve,97232
1298,serve,97231
698,serve,97231
753,serve,97231
1435,serve,97231
1549,serve,97230
1098,serve,97230
709,serve,97230
65,serve,97230
1047,serve,97230
386,serve,97229
1434,serve,97228
1140,serve,97228
577,serve,97228
1111,serve,97227
671,serve,97226
1050,serve,97226
593,serve,97225
1342,serve,97224
1286,serve,97224
757,serve,97224
1105,serve,97224
627,serve,97224
88,serve,97222
548,serve,97221
459,serve,97220
105,serve,97219
900,serve,97219
155,serve,97218
49,serve,97218
681,serve,97218
129,serve,97217
4,serve,97217
1306,serve,97217
1568,serve,97216
567,serve,97216
1023,serve,97215
339,serve,97215
52,serve,97215
1083,serve,97214
87,serve,97214
122,serve,97213
465,serve,97213
1102,serve,97212
893,serve,97212
533,serve,97212
721,serve,97212
1533,serve,97211
420,serve,97210
1220,serve,97209
1171,serve,97209
111,serve,97209
1163,serve,97208
1194,serve,97208
583,serve,97207
872,serve,97207
1195,serve,97207
74,serve,97206
591,serve,97206
1357,serve,97205
1631,serve,97205
158,serve,97204
596,serve,97204
1026,serve,97204
243,serve,97203
564,serve,97202
363,serve,97201
522,serve,97201
857,serve,97201
1303,serve,97200
562,serve,97200
237,serve,97200
504,serve,97200
619,serve,97199
319,serve,97199
802,serve,97198
1371,serve,97198
498,serve,97198
1330,serve,97198
300,serve,97198
230,serve,97198
223,serve,97196
492,serve,97196
1642,serve,97195
1650,serve,97194
1255,serve,97194
380,serve,97194
327,serve,97193
353,serve,97193
513,serve,97191
371,serve,97191
9,serve,97191
832,serve,97191
1241,serve,97190
518,serve,97190
1173,serve,97190
780,serve,97190
1289,serve,97189
1390,serve,97189
787,serve,97188
589,serve,97188
1001,serve,97187
1547,serve,97187
590,serve,97186
973,serve,97186
871,serve,97185
524,serve,97184
1640,serve,97184
423,serve,97181
1015,serve,97181
1485,serve,97180
14,serve,97179
955,serve,97179
1335,serve,97179
211,serve,97178
569,serve,97177
1446,serve,97177
1022,serve,97174
168,serve,97174
1205,serve,97173
845,serve,97172
1154,serve,97172
913,serve,97172
1403,serve,97172
572,serve,97172
181,serve,97172
887,serve,97171
1057,serve,97170
1147,serve,97169
907,serve,97169
1437,serve,97169
957,serve,97168
846,serve,97168
1511,serve,97168
507,serve,97167
301,serve,97167
1138,serve,97166
1087,serve,97166
112,serve,97165
970,serve,97165
315,serve,97165
1112,serve,97165
664,serve,97164
783,serve,97164
368,serve,97162
1649,serve,97162
1646,serve,97161
1183,serve,97161
1277,serve,97161
745,serve,97161
829,serve,97161
680,serve,97160
995,serve,97160
1583,serve,97156
1382,serve,97156
943,serve,97155
859,serve,97155
274,serve,97154
475,serve,97154
629,serve,97154
862,serve,97153
42,serve,97153
96,serve,97152
1466,serve,97152
307,serve,97152
975,serve,97152
1338,serve,97151
760,serve,97151
678,serve,97151
1209,serve,97150
1332,serve,97150
1328,serve,97150
324,serve,97150
778,serve,97149
1337,serve,97148
1119,serve,97148
1557,serve,97148
842,serve,97148
808,serve,97148
1248,serve,97146
471,serve,97146
1442,serve,97146
502,serve,97146
1460,serve,97145
1287,serve,97145
715,serve,97145
1317,serve,97145
1372,serve,97144
416,serve,97144
147,serve,97144
1395,serve,97143
320,serve,97143
1030,serve,97142
597,serve,97142
139,serve,97141
819,serve,97141
117,serve,97141
768,serve,97141
1116,serve,97140
691,serve,97140
1527,serve,97140
487,serve,97139
1139,serve,97139
468,serve,97138
657,serve,97138
190,serve,97136
1045,serve,97136
1211,serve,97136
924,serve,97136
1615,serve,97135
1308,serve,97135
172,serve,97134
1222,serve,97133
1276,serve,97133
1436,serve,97132
598,serve,97132
666,serve,97131
632,serve,97131
937,serve,97131
281,serve,97131
194,serve,97130
682,serve,97129
121,serve,97128
541,serve,97127
1566,serve,97126
540,serve,97126
338,serve,97126
1158,serve,97126
923,serve,97124
1206,serve,97123
282,serve,97123
1365,serve,97123
1526,serve,97123
588,serve,97123
870,serve,97122
343,serve,97122
294,serve,97121
35,serve,97120
375,serve,97119
611,serve,97119
350,serve,97119
718,serve,97118
848,serve,97116
226,serve,97116
229,serve,97116
1407,serve,97115
766,serve,97114
546,serve,97113
1246,serve,97112
1633,serve,97112
1226,serve,97111
1039,serve,97111
1127,serve,97110
279,serve,97109
367,serve,97109
136,serve,97109
1542,serve,97108
587,serve,97108
797,serve,97108
1157,serve,97106
765,serve,97106
413,serve,97106
989,serve,97105
1283,serve,97105
64,serve,97105
1451,serve,97105
1136,serve,97104
1373,serve,97104
1322,serve,97104
1474,serve,97103
369,serve,97103
812,serve,97103
67,serve,97103
971,serve,97102
1329,serve,97102
1257,serve,97101
404,serve,97101
1387,serve,97100
940,serve,97100
1519,serve,97099
933,serve,97097
1529,serve,97095
1236,serve,97095
1230,serve,97094
264,serve,97094
265,serve,97094
1268,serve,97092
1117,serve,97092
1562,serve,97092
713,serve,97092
238,serve,97092
1245,serve,97091
1110,serve,97091
24,serve,97091
1305,serve,97090
44,serve,97090
116,serve,97090
102,serve,97088
794,serve,97088
303,serve,97088
684,serve,97088
283,serve,97088
994,serve,97088
1532,serve,97087
1353,serve,97086
754,serve,97086
903,serve,97086
1172,serve,97085
128,serve,97085
909,serve,97085
254,serve,97084
415,serve,97083
1618,serve,97082
325,serve,97082
1552,serve,97082
1333,serve,97082
605,serve,97081
655,serve,97081
1036,serve,97081
1313,serve,97077
1412,serve,97076
1575,serve,97076
1627,serve,97076
214,serve,97075
723,serve,97073
835,serve,97072
429,serve,97071
1608,serve,97070
1035,serve,97070
954,serve,97070
124,serve,97069
272,serve,97069
1065,serve,97068
1275,serve,97066
1636,serve,97066
1179,serve,97066
1381,serve,97065
636,serve,97065
228,serve,97064
1581,serve,97063
853,serve,97063
856,serve,97063
316,serve,97063
950,serve,97062
426,serve,97062
1626,serve,97062
1188,serve,97061
1418,serve,97061
1569,serve,97061
1629,serve,97061
965,serve,97059
631,serve,97058
142,serve,97057
1444,serve,97057
654,serve,97056
906,serve,97055
1101,serve,97054
869,serve,97054
876,serve,97053
967,serve,97051
972,serve,97051
951,serve,97051
816,serve,97050
95,serve,97049
1272,serve,97049
249,serve,97048
1536,serve,97048
120,serve,97048
257,serve,97047
1468,serve,97047
854,serve,97047
360,serve,97047
12,serve,97045
366,serve,97044
398,serve,97044
1212,serve,97044
1167,serve,97043
8,serve,97043
752,serve,97043
570,serve,97042
939,serve,97042
563,serve,97042
850,serve,97042
1652,serve,97041
645,serve,97041
615,serve,97040
414,serve,97040
62,serve,97040
1048,serve,97039
1094,serve,97038
830,serve,97038
263,serve,97038
635,serve,97037
61,serve,97037
425,serve,97036
1386,serve,97036
910,serve,97036
1577,serve,97036
30,serve,97036
1202,serve,97036
1133,serve,97036
1000,serve,97035
72,serve,97034
198,serve,97033
351,serve,97032
810,serve,97032
622,serve,97030
235,serve,97030
1288,serve,97030
11,serve,97030
1586,serve,97029
1488,serve,97029
896,serve,97028
13,serve,97028
215,serve,97028
342,serve,97026
1085,serve,97025
1551,serve,97023
991,serve,97023
56,serve,97023
1641,serve,97023
679,serve,97022
729,serve,97022
512,serve,97021
1616,serve,97020
902,serve,97018
670,serve,97016
442,serve,97016
1520,serve,97015
864,serve,97015
1056,serve,97014
1076,serve,97011
860,serve,97011
187,serve,97010
200,serve,97009
696,serve,97009
451,serve,97008
1370,serve,97008
1319,serve,97008
539,serve,97008
494,serve,97007
1350,serve,97007
208,serve,97007
1128,serve,97006
501,serve,97006
673,serve,97006
1309,serve,97006
1556,serve,97003
916,serve,97003
1164,serve,97002
1005,serve,97002
767,serve,97002
295,serve,97002
374,serve,97001
314,serve,97001
1231,serve,97000
919,serve,96999
945,serve,96999
1428,serve,96999
1017,serve,96998
839,serve,96998
1482,serve,96998
484,serve,96998
544,serve,96997
934,serve,96997
1385,serve,96996
1593,serve,96996
1130,serve,96996
462,serve,96996
490,serve,96995
653,serve,96995
395,serve,96995
412,serve,96995
821,serve,96994
58,serve,96994
149,serve,96993
769,serve,96993
1559,serve,96992
1184,serve,96990
1261,serve,96990
341,serve,96989
304,serve,96988
333,serve,96988
925,serve,96987
1166,serve,96987
1531,serve,96986
1543,serve,96985
1345,serve,96984
322,serve,96984
100,serve,96984
824,serve,96984
1114,serve,96984
449,serve,96984
127,serve,96984
179,serve,96983
31,serve,96982
331,serve,96982
793,serve,96981
523,serve,96981
1561,serve,96979
775,serve,96979
838,serve,96978
1254,serve,96978
1582,serve,96978
1591,serve,96977
1389,serve,96977
1534,serve,96976
1448,serve,96976
1501,serve,96975
45,serve,96975
1070,serve,96974
642,serve,96974
18,serve,96973
185,serve,96973
1500,serve,96973
146,serve,96973
137,serve,96972
538,serve,96971
131,serve,96971
177,serve,96971
1297,serve,96970
1560,serve,96969
1115,serve,96969
1013,serve,96967
1310,serve,96967
1271,serve,96966
33,serve,96966
1162,serve,96966
929,serve,96966
152,serve,96966
722,serve,96966
364,serve,96965
764,serve,96965
1417,serve,96965
133,serve,96964
798,serve,96963
1290,serve,96963
1644,serve,96963
503,serve,96963
1427,serve,96963
883,serve,96962
329,serve,96962
130,serve,96962
1029,serve,96961
69,serve,96960
1463,serve,96960
825,serve,96960
75,serve,96960
1123,serve,96960
651,serve,96959
781,serve,96958
1402,serve,96958
1002,serve,96958
1625,serve,96957
1152,serve,96957
1514,serve,96956
1075,serve,96956
348,serve,96956
1647,serve,96955
444,serve,96955
1323,serve,96954
1605,serve,96954
262,serve,96953
1612,serve,96953
620,serve,96953
534,serve,96952
259,serve,96952
1016,serve,96952
85,serve,96951
1518,serve,96950
1369,serve,96950
1088,serve,96950
1295,serve,96950
1028,serve,96948
1318,serve,96947
809,serve,96947
392,serve,96946
318,serve,96946
287,serve,96946
1176,serve,96945
495,serve,96945
1637,serve,96945
383,serve,96944
953,serve,96943
1398,serve,96941
1282,serve,96941
222,serve,96941
1027,serve,96939
795,serve,96938
1555,serve,96938
160,serve,96938
1368,serve,96938
7,serve,96937
1214,serve,96937
1415,serve,96936
1530,serve,96935
1273,serve,96935
1093,serve,96934
1483,serve,96934
1081,serve,96933
1151,serve,96933
996,serve,96933
1491,serve,96931
1521,serve,96931
818,serve,96928
882,serve,96927
1450,serve,96927
1134,serve,96926
930,serve,96925
1426,serve,96925
1563,serve,96925
84,serve,96924
637,serve,96924
1258,serve,96924
1346,serve,96922
1585,serve,96921
1181,serve,96919
248,serve,96919
733,serve,96919
60,serve,96919
20,serve,96918
1409,serve,96917
192,serve,96917
841,serve,96916
1379,serve,96916
580,serve,96915
1455,serve,96915
148,serve,96913
844,serve,96913
276,serve,96912
98,serve,96912
948,serve,96911
1651,serve,96910
514,serve,96910
205,serve,96909
1476,serve,96909
807,serve,96909
550,serve,96909
1159,serve,96908
646,serve,96908
1592,serve,96907
250,serve,96907
1221,serve,96907
594,serve,96907
82,serve,96906
1506,serve,96905
734,serve,96905
875,serve,96904
1400,serve,96904
639,serve,96903
1486,serve,96902
216,serve,96901
820,serve,96901
941,serve,96900
1396,serve,96900
1264,serve,96900
530,serve,96900
273,serve,96900
296,serve,96899
115,serve,96899
1074,serve,96898
978,serve,96898
1421,serve,96897
1055,serve,96896
1343,serve,96895
565,serve,96895
659,serve,96893
219,serve,96892
1079,serve,96892
931,serve,96891
170,serve,96890
1425,serve,96887
1066,serve,96887
1270,serve,96887
586,serve,96887
51,serve,96886
1638,serve,96886
1502,serve,96885
1477,serve,96885
1449,serve,96885
699,serve,96883
897,serve,96882
1234,serve,96882
1351,serve,96881
1007,serve,96881
779,serve,96879
448,serve,96878
1497,serve,96877
880,serve,96877
1247,serve,96877
1042,serve,96876
50,serve,96876
1120,serve,96874
738,serve,96874
25,serve,96874
1243,serve,96874
1336,serve,96874
1092,serve,96873
806,serve,96872
1419,serve,96872
890,serve,96872
1084,serve,96871
441,serve,96870
849,serve,96870
571,serve,96869
1604,serve,96869
537,serve,96869
439,serve,96868
1126,serve,96868
1394,serve,96866
1190,serve,96866
911,serve,96865
535,serve,96864
689,serve,96864
461,serve,96864
1129,serve,96863
1453,serve,96863
936,serve,96862
1320,serve,96862
1360,serve,96862
1004,serve,96861
873,serve,96861
1354,serve,96860
284,serve,96860
1019,serve,96859
1524,serve,96858
712,serve,96858
1578,serve,96856
1086,serve,96856
186,serve,96855
595,serve,96855
1267,serve,96855
209,serve,96854
1611,serve,96852
1135,serve,96852
1367,serve,96852
178,serve,96852
352,serve,96851
335,serve,96850
982,serve,96848
1281,serve,96846
761,serve,96846
1570,serve,96844
990,serve,96844
251,serve,96843
803,serve,96842
1251,serve,96842
478,serve,96841
1068,serve,96839
1062,serve,96839
1594,serve,96838
815,serve,96837
393,serve,96837
1528,serve,96837
1623,serve,96835
1537,serve,96834
1416,serve,96834
979,serve,96834
330,serve,96833
1355,serve,96831
1607,serve,96830
693,serve,96830
843,serve,96829
1590,serve,96828
486,serve,96828
162,serve,96827
1024,serve,96827
855,serve,96827
1304,serve,96826
1576,serve,96825
197,serve,96824
1433,serve,96824
547,serve,96823
1121,serve,96821
1225,serve,96820
920,serve,96820
1399,serve,96820
1550,serve,96820
164,serve,96818
36,serve,96817
108,serve,96817
1490,serve,96816
1495,serve,96815
968,serve,96814
602,serve,96813
1213,serve,96813
1040,serve,96811
1478,serve,96811
421,serve,96811
1413,serve,96811
68,serve,96811
898,serve,96810
974,serve,96809
788,serve,96809
1100,serve,96807
104,serve,96806
135,serve,96806
106,serve,96803
38,serve,96802
1269,serve,96802
1259,serve,96802
557,serve,96801
299,serve,96801
1122,serve,96801
1512,serve,96801
804,serve,96801
959,serve,96799
83,serve,96798
707,serve,96798
1291,serve,96797
899,serve,96797
311,serve,96796
576,serve,96794
1201,serve,96794
1431,serve,96793
917,serve,96793
1567,serve,96792
1274,serve,96791
488,serve,96790
505,serve,96788
1539,serve,96788
966,serve,96787
1054,serve,96787
1634,serve,96786
1196,serve,96784
732,serve,96783
1471,serve,96783
261,serve,96782
1595,serve,96782
1635,serve,96781
701,serve,96780
28,serve,96778
983,serve,96777
1160,serve,96777
763,serve,96774
189,serve,96773
1278,serve,96773
340,serve,96770
431,serve,96769
927,serve,96769
1228,serve,96769
19,serve,96768
411,serve,96767
1359,serve,96767
789,serve,96767
1252,serve,96766
485,serve,96765
381,serve,96765
555,serve,96763
196,serve,96762
1614,serve,96761
1210,serve,96761
1429,serve,96758
1609,serve,96758
1090,serve,96756
700,serve,96756
1430,serve,96755
293,serve,96754
716,serve,96751
609,serve,96751
1438,serve,96751
1447,serve,96750
985,serve,96750
118,serve,96748
1584,serve,96746
1186,serve,96744
747,serve,96744
784,serve,96741
1648,serve,96741
1145,serve,96740
212,serve,96739
1439,serve,96738
1011,serve,96738
529,serve,96737
811,serve,96737
549,serve,96736
1113,serve,96735
1405,serve,96735
79,serve,96735
1185,serve,96733
1034,serve,96730
675,serve,96728
719,serve,96728
1099,serve,96727
1603,serve,96727
892,serve,96726
373,serve,96725
612,serve,96724
1174,serve,96724
1475,serve,96722
749,serve,96717
188,serve,96714
470,serve,96711
334,serve,96711
1458,serve,96707
1285,serve,96706
1299,serve,96706
1279,serve,96705
397,serve,96705
1440,serve,96703
464,serve,96703
573,serve,96703
1457,serve,96702
1358,serve,96700
1037,serve,96700
617,serve,96699
575,serve,96699
337,serve,96698
649,serve,96697
1280,serve,96696
436,serve,96692
1315,serve,96691
310,serve,96690
851,serve,96689
626,serve,96688
1349,serve,96686
770,serve,96685
1067,serve,96683
735,serve,96683
1362,serve,96683
1124,serve,96683
292,serve,96681
218,serve,96681
278,serve,96679
624,serve,96678
1445,serve,96676
922,serve,96674
1624,serve,96671
377,serve,96670
456,serve,96668
581,serve,96664
578,serve,96661
1038,serve,96660
477,serve,96658
527,serve,96657
277,serve,96653
568,serve,96653
997,serve,96650
686,serve,96648
1191,serve,96648
132,serve,96646
452,serve,96642
958,serve,96640
740,serve,96640
725,serve,96639
638,serve,96637
1224,serve,96636
1156,serve,96636
762,serve,96635
1082,serve,96631
894,serve,96631
1187,serve,96626
77,serve,96614
1293,serve,96613
1420,serve,96611
584,serve,96611
1218,serve,96606
1610,serve,96606
582,serve,96606
1388,serve,96604
174,serve,96604
255,serve,96600
3,serve,96594
125,serve,96593
1165,serve,96592
221,serve,96586
817,serve,96585
879,serve,96583
1324,serve,96583
336,serve,96582
1106,serve,96581
1374,serve,96577
171,serve,96574
430,serve,96572
260,serve,96570
704,serve,96568
1302,serve,96566
1260,serve,96560
1150,serve,96560
1175,serve,96555
532,serve,96554
1484,serve,96552
650,serve,96550
358,serve,96550
1103,serve,96548
1240,serve,96546
150,serve,96545
1441,serve,96545
687,serve,96544
1378,serve,96540
1125,serve,96535
1077,serve,96528
1137,serve,96520
385,serve,96520
676,serve,96520
472,serve,96519
365,serve,96519
744,serve,96512
1058,serve,96512
667,serve,96501
70,serve,96499
489,serve,96495
661,serve,96491
737,serve,96491
469,serve,96489
483,serve,96487
912,serve,96466
861,serve,96464
705,serve,96464
22,serve,96460
302,serve,96458
884,serve,96443
400,serve,96439
774,serve,96428
1364,serve,96427
998,serve,96427
1008,serve,96417
1025,serve,96392
1507,serve,96380
236,serve,96377
376,serve,96370
1091,serve,96361
123,serve,96357
720,serve,96355
976,serve,96350
1307,serve,96346
144,serve,96340
347,serve,96310
1006,serve,96303
409,serve,96302
863,serve,96293
517,serve,96280
245,serve,96279
242,serve,96262
1361,serve,96253
874,serve,96244
956,serve,96149
389,serve,96073
1003,impression,49259
401,impression,49257
1178,impression,49249
604,impression,49210
908,impression,49209
317,impression,49207
113,impression,49197
710,impression,49189
1558,impression,49142
434,impression,49141
