day,sum(bid_price)
2024-10-28,712900.8996999986
2024-01-31,713272.3329000007
2024-11-15,711806.0710999991
2024-08-20,715347.3884999992
2024-05-02,713550.6425999994
2024-11-03,710515.5859999998
2024-08-22,716275.3768000001
2024-01-23,710539.6098999997
2024-12-27,711948.6314000009
2024-05-03,712647.1619999994
2024-10-27,710764.9954999995
2024-01-02,713488.3591000009
2024-07-26,710279.0036999992
2024-07-25,708840.3285000003
2024-08-08,712616.1253999998
2024-11-24,713290.3252
2024-12-09,713852.3836000003
2024-10-30,715126.3562999999
2024-11-01,715419.1388000012
2024-12-25,712231.2735000005
2024-03-24,715482.2805999995
2024-09-28,711181.2612999992
2024-01-25,714240.2698999997
2024-05-31,710904.3301999997
2024-01-03,715446.6560000001
2024-02-29,714335.6207
2024-10-19,713563.3798000001
2024-02-03,712127.9025000001
2024-11-20,711711.1287
2024-09-27,713037.8216000003
2024-01-17,709511.4227000001
2024-02-25,710837.2003000001
2024-04-19,712449.6836000003
2024-09-06,714840.2758000004
2024-09-07,713182.3916000006
2024-03-26,709035.5043000005
2024-09-18,710402.9245999993
2024-02-14,711551.7114000001
2024-07-18,711971.1434000017
2024-05-04,716043.7004999996
2024-05-10,713449.3789999996
2024-08-23,711147.5170000005
2024-08-17,711150.2740999995
2024-07-02,714013.8362
2024-03-18,714308.3775000006
2024-02-27,710524.2172999996
2024-01-26,714506.5059999995
2024-06-10,714267.7590999999
2024-04-08,714712.0593000017
2024-09-17,714167.4064000002
2024-01-07,709917.2474999997
2024-10-14,711806.6359000001
2024-09-12,713110.6636000009
2024-09-14,715036.6487999982
2024-03-09,712925.0635999991
2024-05-17,712527.5900000003
2024-11-11,712420.8284000008
2024-11-06,712952.1841000004
2024-03-30,709385.3163000006
2024-07-28,713057.5205000003
2024-10-08,710619.5913999999
2024-09-08,713117.3632999992
2024-12-29,714366.1654999999
2024-03-20,713242.9837999992
2024-01-15,712851.4055999992
2024-12-03,714189.8628999986
2024-03-17,711037.8272000008
2024-07-27,711449.2383000009
2024-05-27,709965.9856
2024-04-28,710944.8294000006
2024-05-12,712611.2824999988
2024-07-23,711512.9618000018
2024-12-26,711588.9063999986
2024-10-09,712615.089599999
2024-07-21,712424.6633999989
2024-10-29,712293.5676999999
2024-03-23,712117.4480000007
2024-03-29,713785.1420000001
2024-05-14,714603.4000000003
2024-11-30,709615.1808999999
2024-11-02,711246.534599999
2024-03-08,712297.8799999994
2024-06-16,711473.3950999995
2024-07-09,713899.1148000003
2024-03-13,714491.5171999997
2024-09-23,710274.4480000008
2024-10-02,719347.7361000003
2024-10-11,715464.0724000004
2024-11-10,716270.7260000004
2024-07-15,711444.1457999997
2024-04-06,712918.780900001
2024-11-29,715500.3667999997
2024-05-16,709496.3918000008
2024-10-06,709009.695099999
2024-05-07,714568.1262000005
2024-02-23,710189.9338999996
2024-04-10,713129.4872999995
2024-04-11,711994.3782000002
2024-08-06,712138.6533000004
2024-02-12,713922.2180000009
2024-05-22,711492.6358999993
2024-02-19,711680.6086000009
2024-11-18,713564.3180000007
2024-07-14,713878.4318999995
2024-05-24,712966.6302
2024-04-21,713017.4907
2024-01-20,717092.3626999997
2024-02-13,713885.895500001
2024-12-13,712330.7391000008
2024-05-05,711260.844100001
2024-12-17,717684.2258000006
2024-02-06,715744.8675000007
2024-03-03,711576.7140000006
2024-08-03,713552.577
2024-10-16,714196.8001999999
2024-06-19,712934.9000999992
2024-07-04,711941.6219000003
2024-03-25,709080.660399998
2024-01-04,707929.8824999998
2024-09-22,709917.4929999985
2024-08-27,711577.3362999996
2024-04-05,709708.0346000002
2024-03-14,713270.2740000013
2024-11-07,717047.7339999994
2024-10-07,717492.1761999993
2024-12-24,715143.3877999996
2024-07-19,716891.7181000004
2024-01-24,710064.3555000017
2024-04-26,709522.7028000016
2024-10-15,715734.1159000008
2024-04-02,711648.8247999998
2024-09-16,713658.8207000002
2024-01-08,710947.8373999996
2024-01-21,714747.5886999995
2024-07-08,713406.8675999998
2024-02-11,711957.5161
2024-09-02,711134.3316999997
2024-03-15,712805.2277999998
2024-05-01,710603.2971000001
2024-05-11,712608.942699999
2024-05-06,711409.5528999988
2024-04-07,713530.941899999
2024-08-07,713252.0795999996
2024-01-28,713630.1184000005
2024-11-19,711753.3359000005
2024-05-08,711509.5146999995
2024-07-24,711630.1354000014
2024-06-26,715876.3040000008
2024-03-28,710725.1382000003
2024-04-12,710472.5722000006
2024-10-22,713184.8907000003
2024-06-14,715986.7602999975
2024-10-26,712322.6071000007
2024-04-25,711644.1699999995
2024-07-05,714345.7150000014
2024-02-01,711274.2914999999
2024-04-14,713950.2885
2024-06-12,710135.4315000004
2024-04-23,711488.0484999999
2024-09-09,711427.9334000009
2024-12-22,712975.2066999995
2024-11-05,712764.2305000001
2024-09-04,713371.3063999998
2024-12-08,711175.4623000001
2024-07-17,712957.4795999988
2024-07-01,711205.5098000001
2024-09-24,716566.529
2024-01-01,712515.4582999985
2024-05-23,712435.3478999995
2024-06-24,714067.9885000016
2024-09-13,712411.6660000007
2024-06-02,714354.352399999
2024-07-30,714035.3042999994
2024-08-02,708864.7882999995
2024-06-09,715266.4295999996
2024-07-10,713757.6001999994
2024-12-01,712742.7985000008
2024-08-13,711439.1157000011
2024-04-20,713271.3952
